	word2vec_cluster_label
0	6.0
1	5.0
2	5.0
3	5.0
4	6.0
5	6.0
6	5.0
7	5.0
8	4.0
9	5.0
10	6.0
11	6.0
12	3.0
13	6.0
14	6.0
15	5.0
16	5.0
17	5.0
18	5.0
19	6.0
20	4.0
21	6.0
22	5.0
23	6.0
24	5.0
25	4.0
26	5.0
27	5.0
28	7.0
29	5.0
30	7.0
31	6.0
32	4.0
33	6.0
34	5.0
35	5.0
36	4.0
37	7.0
38	6.0
39	5.0
40	5.0
41	4.0
42	5.0
43	6.0
44	6.0
45	6.0
46	5.0
47	7.0
48	5.0
49	3.0
50	5.0
51	5.0
52	6.0
53	5.0
54	7.0
55	5.0
56	5.0
57	6.0
58	5.0
59	6.0
60	5.0
61	6.0
62	4.0
63	6.0
64	5.0
65	5.0
66	5.0
67	6.0
68	7.0
69	5.0
70	5.0
71	5.0
72	6.0
73	6.0
74	5.0
75	5.0
76	5.0
77	6.0
78	5.0
79	5.0
80	5.0
81	4.0
82	6.0
83	3.0
84	6.0
85	6.0
86	5.0
87	6.0
88	4.0
89	5.0
90	5.0
91	5.0
92	5.0
93	6.0
94	4.0
95	6.0
96	6.0
97	6.0
98	5.0
99	5.0
100	5.0
101	5.0
102	5.0
103	6.0
104	7.0
105	6.0
106	5.0
107	6.0
108	4.0
109	5.0
110	4.0
111	6.0
112	5.0
113	5.0
114	5.0
115	6.0
116	5.0
117	5.0
118	5.0
119	5.0
120	7.0
121	5.0
122	4.0
123	5.0
124	4.0
125	7.0
126	5.0
127	5.0
128	7.0
129	5.0
130	6.0
131	5.0
132	6.0
133	6.0
134	5.0
135	3.0
136	5.0
137	5.0
138	4.0
139	4.0
140	4.0
141	5.0
142	6.0
143	6.0
144	6.0
145	5.0
146	5.0
147	7.0
148	6.0
149	5.0
150	6.0
151	4.0
152	4.0
153	5.0
154	4.0
155	6.0
156	4.0
157	4.0
158	4.0
159	5.0
160	5.0
161	6.0
162	4.0
163	5.0
164	4.0
165	5.0
166	5.0
167	6.0
168	3.0
169	5.0
170	4.0
171	5.0
172	5.0
173	5.0
174	6.0
175	4.0
176	7.0
177	5.0
178	5.0
179	5.0
180	5.0
181	5.0
182	5.0
183	6.0
184	5.0
185	3.0
186	5.0
187	4.0
188	6.0
189	6.0
190	5.0
191	4.0
192	5.0
193	4.0
194	6.0
195	5.0
196	6.0
197	5.0
198	4.0
199	4.0
200	6.0
201	6.0
202	5.0
203	4.0
204	5.0
205	5.0
206	4.0
207	5.0
208	5.0
209	7.0
210	4.0
211	5.0
212	6.0
213	5.0
214	5.0
215	6.0
216	4.0
217	5.0
218	5.0
219	6.0
220	5.0
221	6.0
222	6.0
223	5.0
224	6.0
225	4.0
226	6.0
227	5.0
228	4.0
229	5.0
230	5.0
231	5.0
232	5.0
233	4.0
234	4.0
235	5.0
236	5.0
237	5.0
238	5.0
239	4.0
240	4.0
241	5.0
242	6.0
243	4.0
244	7.0
245	4.0
246	4.0
247	5.0
248	6.0
249	6.0
250	4.0
251	5.0
252	5.0
253	6.0
254	7.0
255	4.0
256	5.0
257	7.0
258	4.0
259	6.0
260	5.0
261	5.0
262	4.0
263	5.0
264	6.0
265	6.0
266	4.0
267	6.0
268	6.0
269	5.0
270	5.0
271	5.0
272	5.0
273	5.0
274	6.0
275	4.0
276	7.0
277	6.0
278	6.0
279	5.0
280	5.0
281	6.0
282	5.0
283	5.0
284	4.0
285	6.0
286	5.0
287	5.0
288	6.0
289	4.0
290	6.0
291	4.0
292	5.0
293	4.0
294	6.0
295	5.0
296	5.0
297	5.0
298	5.0
299	5.0
300	5.0
301	5.0
302	5.0
303	8.0
304	5.0
305	6.0
306	5.0
307	5.0
308	6.0
309	6.0
310	6.0
311	6.0
312	6.0
313	6.0
314	4.0
315	6.0
316	4.0
317	4.0
318	5.0
319	5.0
320	6.0
321	4.0
322	5.0
323	6.0
324	5.0
325	5.0
326	4.0
327	4.0
328	4.0
329	4.0
330	6.0
331	5.0
332	5.0
333	4.0
334	4.0
335	6.0
336	5.0
337	5.0
338	5.0
339	7.0
340	6.0
341	5.0
342	4.0
343	6.0
344	5.0
345	5.0
346	6.0
347	6.0
348	5.0
349	4.0
350	7.0
351	4.0
352	6.0
353	5.0
354	4.0
355	5.0
356	5.0
357	5.0
358	4.0
359	5.0
360	5.0
361	5.0
362	4.0
363	6.0
364	5.0
365	6.0
366	4.0
367	7.0
368	5.0
369	7.0
370	5.0
371	5.0
372	6.0
373	6.0
374	4.0
375	6.0
376	3.0
377	5.0
378	5.0
379	5.0
380	5.0
381	6.0
382	5.0
383	6.0
384	5.0
385	6.0
386	5.0
387	4.0
388	5.0
389	4.0
390	4.0
391	4.0
392	5.0
393	6.0
394	5.0
395	6.0
396	5.0
397	6.0
398	7.0
399	4.0
400	6.0
401	5.0
402	5.0
403	3.0
404	5.0
405	5.0
406	7.0
407	6.0
408	6.0
409	4.0
410	6.0
411	5.0
412	4.0
413	4.0
414	5.0
415	6.0
416	5.0
417	5.0
418	6.0
419	5.0
420	6.0
421	6.0
422	5.0
423	5.0
424	6.0
425	5.0
426	6.0
427	5.0
428	7.0
429	6.0
430	6.0
431	5.0
432	5.0
433	5.0
434	5.0
435	4.0
436	5.0
437	6.0
438	4.0
439	6.0
440	5.0
441	5.0
442	4.0
443	5.0
444	5.0
445	5.0
446	6.0
447	4.0
